qacc,sacc,pident,length,mismatch,gapopen,qstart,qlen,sstart,send,evalue,bitscore
Query_5958997,MZ681930.1,96.736,337,11,0,5,341,84054,83718,1.54e-155,562
Query_5958997,MT630408.1,96.736,337,11,0,5,341,84055,83719,1.54e-155,562
Query_5958997,ON720975.1,96.188,341,13,0,1,341,28878,29218,1.99e-154,558
Query_5958997,OL960580.1,96.450,338,12,0,4,341,86466,86129,1.99e-154,558
Query_5958997,OL615012.1,96.188,341,13,0,1,341,86022,85682,1.99e-154,558
Query_5958997,OZ035849.1,95.601,341,15,0,1,341,133046,133386,4.30e-151,547
Query_5958997,PX842581.1,95.308,341,16,0,1,341,25376,25036,2.00e-149,542
Query_5958997,PV245934.1,95.562,338,15,0,4,341,155172,154835,2.00e-149,542
Query_5958997,OL956808.1,95.308,341,16,0,1,341,58702,59042,2.00e-149,542
Query_5958997,PP400786.1,95.015,341,17,0,1,341,17656,17316,9.32e-148,536
Query_5958997,PV173775.1,94.721,341,18,0,1,341,142878,143218,4.33e-146,531
Query_5958997,OZ035785.1,94.721,341,18,0,1,341,160281,159941,4.33e-146,531
Query_5958997,OZ035784.1,94.721,341,18,0,1,341,161494,161154,4.33e-146,531
Query_5958997,OP870145.1,94.721,341,18,0,1,341,90234,89894,4.33e-146,531
Query_5958997,OP197928.1,94.721,341,18,0,1,341,85834,85494,4.33e-146,531
Query_5958997,ON210139.1,94.721,341,18,0,1,341,84954,85294,4.33e-146,531
Query_5958997,LR990704.1,94.721,341,18,0,1,341,18139,17799,4.33e-146,531
Query_5958997,MW822007.1,94.721,341,18,0,1,341,78594,78254,4.33e-146,531
Query_5958997,NC_042130.1,94.721,341,18,0,1,341,70428,70088,4.33e-146,531
Query_5958997,NC_028927.1,94.721,341,18,0,1,341,155915,155575,4.33e-146,531
Query_5958997,LN881737.1,94.721,341,18,0,1,341,95796,95456,4.33e-146,531
Query_5958997,NC_054906.1,94.721,341,18,0,1,341,85530,85190,4.33e-146,531
Query_5958997,LN881734.1,94.721,341,18,0,1,341,73974,73634,4.33e-146,531
Query_5958997,PZ402301.1,94.955,337,17,0,5,341,159924,159588,1.56e-145,529
Query_5958997,PX853812.1,94.955,337,17,0,5,341,23855,23519,1.56e-145,529
Query_5958997,PQ571308.1,94.955,337,17,0,5,341,166680,167016,1.56e-145,529
Query_5958997,PQ303785.1,94.955,337,17,0,5,341,155109,155445,1.56e-145,529
Query_5958997,PP400789.1,94.955,337,17,0,5,341,74785,75121,1.56e-145,529
Query_5958997,PP400788.1,94.955,337,17,0,5,341,21606,21270,1.56e-145,529
Query_5958997,OR906198.1,94.955,337,17,0,5,341,71123,71459,1.56e-145,529
Query_5958997,OP870144.1,94.955,337,17,0,5,341,86642,86306,1.56e-145,529
Query_5958997,NC_054925.1,94.955,337,17,0,5,341,82501,82165,1.56e-145,529
Query_5958997,PX104379.1,94.428,341,19,0,1,341,157526,157186,2.02e-144,525
Query_5958997,PV958097.1,94.428,341,19,0,1,341,20950,21290,2.02e-144,525
Query_5958997,PV648363.1,94.428,341,19,0,1,341,30463,30803,2.02e-144,525
Query_5958997,OZ209057.1,94.428,341,19,0,1,341,87553,87213,2.02e-144,525
Query_5958997,PZ862964.1,94.428,341,19,0,1,341,83405,83745,2.02e-144,525
Query_5958997,OZ035787.1,94.428,341,19,0,1,341,161168,160828,2.02e-144,525
Query_5958997,OZ035760.1,94.428,341,19,0,1,341,158572,158232,2.02e-144,525
Query_5958997,OZ034685.1,94.428,341,19,0,1,341,86860,86520,2.02e-144,525
Query_5958997,OR062944.1,94.428,341,19,0,1,341,91325,91665,2.02e-144,525
Query_5958997,OZ034682.1,94.428,341,19,0,1,341,87512,87172,2.02e-144,525
Query_5958997,OL964745.1,94.428,341,19,0,1,341,78530,78190,2.02e-144,525
Query_5958997,OK272476.1,94.428,341,19,0,1,341,85950,85610,2.02e-144,525
Query_5958997,MZ375356.1,94.428,341,19,0,1,341,70918,70578,2.02e-144,525
Query_5958997,MZ501065.1,94.428,341,19,0,1,341,156931,156591,2.02e-144,525
Query_5958997,PP987310.1,94.428,341,19,0,1,341,87065,86725,2.02e-144,525
